ESTANTE,CATEGORIA,DESCRIPCION,MODELO,CANTIDAD,ESTADO,CONDICION,OBSERVACIONES
A1,Circuito Integrado,8-line to 3 line priority encoder,74148,42,DISPONIBLE,BUENO,
A1,Circuito Integrado,16 Line to 1 line Data Selector/Multiplexer,74150,50,DISPONIBLE,BUENO,
A1,Circuito Integrado,8 line to 1 line Data Selector/Multiplexer,74151,173,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual 4-Line to 1-Line Data Selectors/Multiplexers,74153,245,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad-Set-Reset Latch,74279,36,DISPONIBLE,BUENO,
A1,Circuito Integrado,9 bit Odd/Even parity generator/Checker,74280,110,DISPONIBLE,BUENO,
A1,Circuito Integrado,4 bit binary adder,74283,7,DISPONIBLE,BUENO,
A1,Circuito Integrado,,7835,,DISPONIBLE,BUENO,
A1,Circuito Integrado,4 bit by 4 bit parallel binary multipliers,74284,53,DISPONIBLE,BUENO,
A1,Circuito Integrado,4 Bit Binary counter (separate divide-by-2 and divided by 8 sections),74293,44,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hexadecimal buffer with Noninverted Three State Outputs.,74367,15,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual 4-line to 1-line Data selectors/ Multiplexers with inverting outputs.,74352,7,DISPONIBLE,BUENO,
A1,Circuito Integrado,DIP dual 4 to 1 data selector,74353,8,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-Bit Bidirectional Universal Shift/ Storage Reg w/ Three-State Outputs,74299,150,DISPONIBLE,BUENO,
A1,Circuito Integrado,"a monolithic 4?line?to?16?line decoder in a 24?Lead DIP
  type package",74154,200,DISPONIBLE,BUENO,
A1,Periférico,Caja cables aula 414,,1,DISPONIBLE,BUENO,"Contiene:
 -20 puntas de prueba
 -20 cables de fuente
 -20 BNC- LAGARTO
 -10 Puntas de multimetro"
A1,Periférico,Simulador Solar,,1,DISPONIBLE,BUENO,
A1,Periférico,Cables BNC Prestamos a Profesores,,63,DISPONIBLE,BUENO,
A1,Periférico,Cables BNC Prestamos a Estudiantes,,14,DISPONIBLE,BUENO,
A1,Periférico,Pmod ALS,,38,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,Periférico,Pmod Pantalla LCD,,17,DISPONIBLE,BUENO,Caja FPGA Pablo y Jorge
A1,Periférico,Pmod MicroSD,,38,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
