ACTIVOTEC,ESTANTE,CATEGORIA,DESCRIPCION,MARCA,MODELO,SERIE,CANTIDAD,CONDICION,ESTADO,OBSERVACIONES
AI-1075,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1096,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1170,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1174,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1188,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1305,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1311,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1312,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
AI-1381,A5,otros,Lutron DI-6200 Insulation Tester,Lutron,DI-6200,,1,BUENO,DISPONIBLE,Está marcado con diferentes activos
AI-1383,A5,otros,Lutron DI-6200 Insulation Tester,Lutron,DI-6200,,1,BUENO,DISPONIBLE,Está marcado con diferentes activos
AI-1404,F,osciloscopio,Osciloscopio Tektronics TDS 340A,Tektronics,TDS 340A,,1,BUENO,DISPONIBLE,
SP-002421,A5,wattimetro,Wattimetro Analogico SEW,SEW-EURODRIVE,2030-12,,1,BUENO,DISPONIBLE,120 V y 5 A (Relación: 5.25)
SP-002422,A5,wattimetro,Wattimetro Analogico SEW,SEW-EURODRIVE,2030-12,,1,BUENO,DISPONIBLE,
SP-002423,A5,wattimetro,Wattimetro Analogico SEW,SEW-EURODRIVE,2030-12,,1,BUENO,DISPONIBLE,
SP-002469,F,analizador,HP 1664A Logic Analyzer,HP,1664A,,1,BUENO,DISPONIBLE,
SP-002470,F,analizador,HP 1664A Logic Analyzer,HP,1664A,,1,BUENO,DISPONIBLE,
SP-002471,F,analizador,HP 1664A Logic Analyzer,HP,1664A,,1,BUENO,DISPONIBLE,
SP-003242,A5,wattimetro,Wattimetro Analogico SEW,SEW-EURODRIVE,2030-12,,1,BUENO,DISPONIBLE,
SP-003546,A5,wattimetro,Wattimetro Analogico SEW,SEW-EURODRIVE,2030-12,,1,BUENO,DISPONIBLE,
6969,B,otros,Set de llaves corofijas Homak NA,Homak,NA,,1,BUENO,DISPONIBLE,"10 llaves de 
diferente tamaño"
24247,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24249,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24250,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24251,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24254,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24255,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24256,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24258,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24260,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
24261,D,multimetro,Multimetro Digital GW Instek GDM-8045G,GW Instek,GDM-8045G,,1,BUENO,DISPONIBLE,
26649,D,generador de funciones,Generador de Funciones Escort EGC-3235,Escort,EGC-3235,,1,BUENO,DISPONIBLE,
26650,D,generador de funciones,Generador de Funciones Escort EGC-3232,Escort,EGC-3232,,1,BUENO,DISPONIBLE,
26652,D,generador de funciones,Generador de Funciones Escort EGC-3234,Escort,EGC-3234,,1,BUENO,DISPONIBLE,
26653,D,generador de funciones,Generador de Funciones Escort EGC-3240,Escort,EGC-3240,,1,BUENO,DISPONIBLE,
26654,D,generador de funciones,Generador de Funciones Escort EGC-3239,Escort,EGC-3239,,1,BUENO,DISPONIBLE,
26655,D,generador de funciones,Generador de Funciones Escort EGC-3238,Escort,EGC-3238,,1,BUENO,DISPONIBLE,
26656,D,generador de funciones,Generador de Funciones Escort EGC-3236,Escort,EGC-3236,,1,BUENO,DISPONIBLE,
26657,D,generador de funciones,Generador de Funciones Escort EGC-3237,Escort,EGC-3237,,1,BUENO,DISPONIBLE,
26658,D,generador de funciones,Generador de Funciones Escort EGC-3233,Escort,EGC-3233,,1,BUENO,DISPONIBLE,
26659,D,generador de funciones,Generador de Funciones Escort EGC-3231,Escort,EGC-3231,,1,BUENO,DISPONIBLE,
26660,D,generador de funciones,Generador de Funciones Escort EGC-3230,Escort,EGC-3230,,1,BUENO,DISPONIBLE,
29294,D,fuente dc,Fuente DC Goldstar GP-306,Goldstar,GP-306,,1,BUENO,DISPONIBLE,
29295,D,fuente dc,Fuente DC Goldstar GP-311,Goldstar,GP-311,,1,BUENO,DISPONIBLE,
29297,D,fuente dc,Fuente DC Goldstar GP-309,Goldstar,GP-309,,1,BUENO,DISPONIBLE,
29299,D,fuente dc,Fuente DC Goldstar GP-308,Goldstar,GP-308,,1,BUENO,DISPONIBLE,
29651,D,fuente dc,Fuente DC Goldstar GP-305,Goldstar,GP-305,,1,BUENO,DISPONIBLE,
29652,D,fuente dc,Fuente DC Goldstar GP-307,Goldstar,GP-307,,1,BUENO,DISPONIBLE,
29655,D,fuente dc,Fuente DC Goldstar GP-310,Goldstar,GP-310,,1,BUENO,DISPONIBLE,
29657,D,generador de funciones,Generador de Funciones Goldstar FG-20025,Goldstar,FG-20025,,1,BUENO,DISPONIBLE,
29658,D,generador de funciones,Generador de Funciones Goldstar FG-20021,Goldstar,FG-20021,,1,BUENO,DISPONIBLE,
29659,D,generador de funciones,Generador de Funciones Goldstar FG-20023,Goldstar,FG-20023,,1,BUENO,DISPONIBLE,
29662,D,generador de funciones,Generador de Funciones Goldstar FG-20022,Goldstar,FG-20022,,1,BUENO,DISPONIBLE,
