ACTIVOTEC,ESTANTE,CATEGORIA,DESCRIPCION,MARCA,MODELO,SERIE,CANTIDAD,CONDICION,ESTADO,OBSERVACIONES
99683,C,multimetro,Multimetro Digital GW Instek GDM-8341,GW Instek,GDM-8341,,1,BUENO,DISPONIBLE,
99695,C,multimetro,Multimetro Digital GW Instek GDM-8341,GW Instek,GDM-8341,,1,BUENO,DISPONIBLE,
99714,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
99715,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
99716,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
99717,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
99718,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
99790,D,osciloscopio,Osciloscopio GW Instek GDS-1202B,GW Instek,GDS-1202B,,1,BUENO,DISPONIBLE,
99821,C,fuente dc,Fuente DC GW Instek GPE-2323,GW Instek,GPE-2323,,1,BUENO,DISPONIBLE,
99822,C,fuente dc,Fuente DC GW Instek GPE-2323,GW Instek,GPE-2323,,1,BUENO,DISPONIBLE,
99823,C,fuente dc,Fuente DC GW Instek GPE-2323,GW Instek,GPE-2323,,1,BUENO,DISPONIBLE,
99824,C,fuente dc,Fuente DC GW Instek GPE-2323,GW Instek,GPE-2323,,1,BUENO,DISPONIBLE,
99825,C,fuente dc,Fuente DC GW Instek GPE-2323,GW Instek,GPE-2323,,1,BUENO,DISPONIBLE,
99826,C,fuente dc,Fuente DC GW Instek GPE-2323,GW Instek,GPE-2323,,1,BUENO,DISPONIBLE,
99858,B,generador de funciones,Generador de Funciones Hantek HDG3000B,Hantek,HDG3000B,,1,BUENO,DISPONIBLE,Color gris y negro
99859,B,generador de funciones,Generador de Funciones Hantek HDG3000B,Hantek,HDG3000B,,1,BUENO,DISPONIBLE,
99860,B,generador de funciones,Generador de Funciones Hantek HDG3000B,Hantek,HDG3000B,,1,BUENO,DISPONIBLE,
99861,B,generador de funciones,Generador de Funciones Hantek HDG3000B,Hantek,HDG3000B,,1,BUENO,DISPONIBLE,
99862,B,generador de funciones,Generador de Funciones Hantek HDG3000B,Hantek,HDG3000B,,1,BUENO,DISPONIBLE,
99863,B,generador de funciones,Generador de Funciones Hantek HDG3000B,Hantek,HDG3000B,,1,BUENO,DISPONIBLE,
2E - 02,E,kit de desarrollo,Xilinx Spartan FPGA,Xilinx,Spartan,,1,BUENO,DISPONIBLE,"Placa, 1 adaptador y cable alimentacion y 1 2R32"
2E - 09,E,kit de desarrollo,Xilinx Spartan FPGA,Xilinx,Spartan,,1,BUENO,DISPONIBLE,"Placa, 1 adaptador y cable alimentacion y 1 2R32"
2E -19,E,kit de desarrollo,Xilinx Spartan FPGA,Xilinx,Spartan,,1,BUENO,DISPONIBLE,"Placa, 1 adaptador y cable alimentacion y 1 2R32"
2G-17,E,kit de desarrollo,Xilinx Spartan FPGA,Xilinx,Spartan,,1,BUENO,DISPONIBLE,"Placa, 1 adaptador y cable alimentacion y 1 2R32"
AC-90001,E,protoboard,Protoboard KI AC-9007,King Instrument Electronics,AC-9007,,1,BUENO,DISPONIBLE,Buen estado
AI-0932,MUEBLE EMPOTRADO PARTE SUPERIOR,otros,ViewSonic Projector,ViewSonic,,,1,BUENO,DISPONIBLE,"CON CABLE DE ALIMENTACIÓN, VGA Y CONTROL SIN BATERIAS, ADEMAS DE ESTUCHE"
AI-0977,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,Le faltan un botón
AI-0981,D,multimetro,Multimetro Digital Tektronik CDM258,Tektronik,CDM258,,1,BUENO,DISPONIBLE,
AI-1006,D,multimetro,Multimetro Digital Tektronik CDM250,Tektronik,CDM250,,1,BUENO,DISPONIBLE,
AI-1058,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1059,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,Le faltan 2 botones
AI-1061,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1066,D,multimetro,Multimetro Digital Tektronik CDM257,Tektronik,CDM257,,1,BUENO,DISPONIBLE,
AI-1067,D,multimetro,Multimetro Digital Tektronik CDM254,Tektronik,CDM254,,1,BUENO,DISPONIBLE,
AI-1146,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,Le falta el botón de encendido
AI-1179,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1185,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1241,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1270,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,Le falta un botón
AI-1273,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1274,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1275,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1276,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1280,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,Le falta un botón frontal
AI-1281,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,Le faltan el boton de encendido
AI-1416,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,Le falta un botón frontal
AI-1417,D,multimetro,Multimetro Digital Tektronik CDM256,Tektronik,CDM256,,1,BUENO,DISPONIBLE,
AI-1420,C,multimetro,Multimetro Digital KI DM-6804B,King Instrument Electronics,DM-6804B,,1,BUENO,DISPONIBLE,
AI-1424,D,multimetro,Multimetro Digital Tektronik CDM255,Tektronik,CDM255,,1,BUENO,DISPONIBLE,
AI-1425,D,multimetro,Multimetro Digital Tektronik CDM250,Tektronik,CDM250,,1,BUENO,DISPONIBLE,
C050619,E,kit de desarrollo,Digilent D2-SB,Digilent,D2-SB,,1,BUENO,DISPONIBLE,"Placa, 1 cable jtag a paralelo, y alimentacion "
c050674,E,kit de desarrollo,Xilinx Spartan Digilent D2-SB,Xilinx,Spartan,,1,BUENO,DISPONIBLE,"Digital I/O 5, cargadr y cable macho paraleo"
D00 1401,E,kit de desarrollo,Xilinx Spartan FPGA,Xilinx,Spartan,,1,BUENO,DISPONIBLE,"Placa, 1 adaptador y cable alimentacion "
D001316,E,kit de desarrollo,Digilent D2-SB,Digilent,D2-SB,,1,BUENO,DISPONIBLE,Placa y alimentacion
D001318,E,kit de desarrollo,Digilent D2-SB,Digilent,D2-SB,,1,BUENO,DISPONIBLE,"Placa, 1 cable jtag a paralelo, y alimentacion "
D039301,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable usb a jtag, cable jtag a paralelo y alimentacion"
d039303,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable usb a jtag y alimentacion"
D039306,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable usb a jtag, cable jtag a paralelo y alimentacion"
D0393063,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable usb a jtag, cable jtag a paralelo y alimentacion"
D039312,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,Placa y cable paralelo a jtag
D039321,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable jtag a paralelo y alimentacion"
D039338,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable jtag a paralelo y alimentacion"
D039340,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable jtag a paralelo y alimentacion"
D039345,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable usb a jtag, cable jtag a paralelo y alimentacion"
D039351,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,Placa y alimentacion
D039354,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable usb a jtag, cable jtag a paralelo y alimentacion"
D039360,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable jtag a paralelo "
D039364,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"Placa, cable usb a jtag y alimentacion"
D039368,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,Placa y cable paralelo a jtag
D039399,E,kit de desarrollo,Xilinx Spartan 3 FPGA,Xilinx,Spartan 3,,1,BUENO,DISPONIBLE,"2 placas, cable jtag a paralelo y alimentacion"
D059024,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,placa y C-MOD C2(DIGILENT)
D059026,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,"placa, 1 cable usb a jtag, y alimentacion"
D067867,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,"placa,  1 cable usb a jtag, 1 cable jtag a paralelo y alimentacion"
D067868,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,"placa, 1 cable jtag a paralelo y alimentacion"
D067947,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,"placa, 1 cable usb a jtag y alimentacion"
D067954,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,placa y 2 cables jtag a paralelo
D067956,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,"placa, 1 cable usb a jtag y alimentacion"
D067957,E,kit de desarrollo,Digilent Spartan 3-1000,Digilent,Spartan 3-1000,,1,BUENO,DISPONIBLE,"placa, 1 cable usb a jtag y alimentacion"
D079962,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, usb a A, y alimentacion "
D079964,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, 1 cable jtag a paralelo, y alimentacion "
D079978,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,placa y alimentacion
D079979,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, usb a A, y alimentacion "
D080017,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, usb a A, y alimentacion "
D080018,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, usb a A, y alimentacion "
D080022,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, usb a A, y alimentacion "
D080031,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, usb a A, y alimentacion "
D080034,E,kit de desarrollo,Digilent Spartan 3E-Starter,Digilent,Spartan 3E-Starter,,1,BUENO,DISPONIBLE,"placa, usb a A, y alimentacion "
D381890,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D381891,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D381892,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D381896,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D390535,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Buen estado
D390541,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D390542,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D390543,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D390548,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D390552,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Sin plástico
D390553,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D390578,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D439956,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D439970,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D439975,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D439977,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D440182,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D440183,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Caja desgastada
D481721,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Caja Quebrada
D482755,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Caja desgastada
D482780,E,kit de desarrollo,Digilent Nexys 3 FPGA,Digilent,Nexys 3,,1,BUENO,DISPONIBLE,Plástico de caja dañado
D592737,E,kit de desarrollo,Digilent Nexys 4 FPGA,Digilent,Nexys 4,,1,BUENO,DISPONIBLE,Caja Dañada
D663147,E,kit de desarrollo,Digilent Nexys 4 FPGA,Digilent,Nexys 4,,1,BUENO,DISPONIBLE,Caja dañada
D80 020,E,kit de desarrollo,Xilinx Spartan-3E Starter Kit,Xilinx,Spartan-3E,,1,BUENO,DISPONIBLE,"Cable de alimentacion, placa y cable usb A"
DAA7676,E,kit de desarrollo,Digilent Nexys A7 FPGA,Digilent,Nexys A7,,1,BUENO,DISPONIBLE,
sp 002963,E,protoboard,Protoboard KI AC-9001,King Instrument Electronics,AC-9001,,1,BUENO,DISPONIBLE,
sp 5347-3,E,protoboard,Protoboard KI AC-9002,King Instrument Electronics,AC-9002,,1,BUENO,DISPONIBLE,
sp 5347-4,E,protoboard,Protoboard KI AC-9003,King Instrument Electronics,AC-9003,,1,BUENO,DISPONIBLE,
sp 5347-5,E,protoboard,Protoboard KI AC-9004,King Instrument Electronics,AC-9004,,1,BUENO,DISPONIBLE,
sp 5747-7,E,protoboard,Protoboard KI AC-9005,King Instrument Electronics,AC-9005,,1,BUENO,DISPONIBLE,
SP-002223,B,lcr,LCR Zentech 100,Zentech,100,,1,BUENO,DISPONIBLE,
SP-002224,B,lcr,LCR Zentech 100,Zentech,100,,1,BUENO,DISPONIBLE,
SP-002309,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,"Le falta un 
botón"
SP-002318,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,
SP-002350,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,
SP-002355,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,
SP-002383,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,
SP-002431,B,lcr,LCR Zentech 100,Zentech,100,,1,BUENO,DISPONIBLE,
SP-002493,C,otros,LEAP Electronic ICT-6C Digital IC Tester,LEAP Electronic,ICT-6C,,1,BUENO,DISPONIBLE,
SP-002507,D,otros,KI-3020A Semiconductor Curve Tracer,King Instrument Electronics,KI-3020A,,1,BUENO,DISPONIBLE,
SP-002508,D,otros,KI-3020A Semiconductor Curve Tracer,King Instrument Electronics,KI-3020A,,1,BUENO,DISPONIBLE,
SP-002510,D,otros,KI-3020A Semiconductor Curve Tracer,King Instrument Electronics,KI-3020A,,1,BUENO,DISPONIBLE,
SP-002549,D,multimetro,Multimetro Digital Tektronik CDM250,Tektronik,CDM250,,1,BUENO,DISPONIBLE,
SP-002550,B,lcr,LCR Zentech 100,Zentech,100,,1,BUENO,DISPONIBLE,
SP-002572,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,
SP-002584,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,"Le falta un 
botón"
SP-002599,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,
SP-002610,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,"Le falta un 
botón"
SP-003235,B,lcr,LCR Zentech 100,Zentech,100,,1,BUENO,DISPONIBLE,
SP-003239,D,multimetro,Multimetro Digital Tektronik CDM250,Tektronik,CDM250,,1,BUENO,DISPONIBLE,
SP-005282,B,lcr,LCR Zentech 100,Zentech,100,,1,BUENO,DISPONIBLE,
SP-005306,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,
SP-005324,B,generador de funciones,Generador de Funciones KI FG-2512B,King Instrument Electronics,FG-2512B,,1,BUENO,DISPONIBLE,"Le falta un 
botón"
SP-5200,D,otros,Leap Electronic Handy Series Digital IC Tester,Leap Electronic,Handy Series,,1,BUENO,DISPONIBLE,
26690,C,fuente dc,Fuente DC Goldstar GP-303,Goldstar,GP-303,,1,DAÑADO,DISPONIBLE,"Mango roto, cara frontal fracturada, cable de alimentación no modular descarapelado"
35491,E,otros,SAMAR Decade Inductor,SAMAR,,,1,DAÑADO,DISPONIBLE,
35503,E,generador de funciones,Generador de Señales Agilent 33120A,Agilent,33120A,,1,DAÑADO,DISPONIBLE,Patilla de soporte quebrada
69212,E,osciloscopio,Osciloscopio Agilent DSO1002A,Agilent,DSO1002A,,1,DAÑADO,DISPONIBLE,No funciona
70330,E,osciloscopio,Osciloscopio Agilent DSO1002A,Agilent,DSO1002A,,1,DAÑADO,DISPONIBLE,Perilla de canal 1 defectuosa
78364,E,multimetro,Multimetro Digital Keysight 34461A,Keysight,34461A,,1,DAÑADO,DISPONIBLE,Dañado
78388,E,generador de funciones,Generador de Señales Keysight 33210A,Keysight,33210A,,1,DAÑADO,DISPONIBLE,No genera salidas
AI-1236,E,multimetro,Multimetro Digital KI DM-6804E,King Instrument Electronics,DM-6804E,,1,DAÑADO,DISPONIBLE,Impreciso en medición de resistencias
AI-1240,E,multimetro,Multimetro Digital KI DM-6804E,King Instrument Electronics,DM-6804E,,1,DAÑADO,DISPONIBLE,No prende
AI-1272,E,multimetro,Multimetro Digital KI DM-6804E,King Instrument Electronics,DM-6804E,,1,DAÑADO,DISPONIBLE,Impreciso en medición de resistencias
D390534,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,DAÑADO,DISPONIBLE,"Sin cable, caja dañada"
D390536,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,DAÑADO,DISPONIBLE,"Sin portada, sin cable"
D390539,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,DAÑADO,DISPONIBLE,Sin cable
D390544,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,DAÑADO,DISPONIBLE,Sin cable
D390550,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,DAÑADO,DISPONIBLE,Sin cable
D390556,E,kit de desarrollo,Digilent Nexys 2 FPGA,Digilent,Nexys 2,,1,DAÑADO,DISPONIBLE,"Plástico de caja dañado, sin cable"
D592476,E,kit de desarrollo,Digilent Nexys 4 FPGA,Digilent,Nexys 4,,1,DAÑADO,DISPONIBLE,"Switch malo, plástico de caja dañado"
D592819,E,kit de desarrollo,Digilent Nexys 4 FPGA,Digilent,Nexys 4,,1,DAÑADO,DISPONIBLE,"Cable Dañado, plástico dañado "
D663893,E,kit de desarrollo,Digilent Nexys 4 FPGA,Digilent,Nexys 4,,1,DAÑADO,DISPONIBLE,"Switch dañado, plástico de caja dañado"
D764520,E,otros,Diligent Zedboard,Digilent,,,1,DAÑADO,DISPONIBLE,Puerto dañado
DB164FB,E,kit de desarrollo,Digilent Basys 3 FPGA,Digilent,Basys 3,,1,DAÑADO,DISPONIBLE,Interruptor dañado
QJ23E,E,otros,Wheatstone Bridge,,,,1,DAÑADO,DISPONIBLE,
SP-002301,E,generador de funciones,Generador de Señales Ki FG-2512B,King Instrument Electronics,FG-2512B,,1,DAÑADO,DISPONIBLE,No se puede configurar una frecuencia
SP-002307,E,fuente dc,Fuente DC Ki DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,DAÑADO,DISPONIBLE,Daño en el display
SP-002379,E,generador de funciones,Generador de Señales Ki FG-2512B,King Instrument Electronics,FG-2512B,,1,DAÑADO,DISPONIBLE,El boton de encendido aveces falla
SP-002571,E,multimetro,Multimetro Digital KI DM-6804E,King Instrument Electronics,DM-6804E,,1,DAÑADO,DISPONIBLE,No mide voltaje
SP-003222,E,fuente dc,Fuente DC Ki DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,DAÑADO,DISPONIBLE,No sirve display derecho
SP-002353,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,DAÑADO,DISPONIBLE,
24688,C,fuente dc,Fuente DC GW Instek GPR-30200,GW Instek,GPR-30200,,1,REGULAR,DISPONIBLE,
24690,C,fuente dc,Fuente DC GW Instek GPR-30200,GW Instek,GPR-30200,,1,REGULAR,DISPONIBLE,
24698,C,fuente dc,Fuente DC GW Instek GPR-30200,GW Instek,GPR-30200,,1,REGULAR,DISPONIBLE,
24699,C,fuente dc,Fuente DC GW Instek GPR-30200,GW Instek,GPR-30200,,1,REGULAR,DISPONIBLE,
24701,C,fuente dc,Fuente DC GW Instek GPR-30200,GW Instek,GPR-30200,,1,REGULAR,DISPONIBLE,
26693,C,fuente dc,Fuente DC Goldstar GP-304,Goldstar,GP-303,,1,REGULAR,DISPONIBLE,
26696,C,fuente dc,Fuente DC Goldstar GP-305,Goldstar,GP-303,,1,REGULAR,DISPONIBLE,
26697,C,fuente dc,Fuente DC Goldstar GP-306,Goldstar,GP-303,,1,REGULAR,DISPONIBLE,
26699,C,fuente dc,Fuente DC Goldstar GP-307,Goldstar,GP-303,,1,REGULAR,DISPONIBLE,
26701,C,fuente dc,Fuente DC Goldstar GP-308,Goldstar,GP-303,,1,REGULAR,DISPONIBLE,
28210,C,otros,Tacometro RHEINTACHO A3-2000,RHEINTACHO,A3-2000,,1,REGULAR,DISPONIBLE,
48439,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,pintura oxidada
48440,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,
48441,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,
48442,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,
48443,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,pintura oxidada
48444,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,pintura oxidada
48446,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,
48447,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,La pantalla está pegada con tape
48449,C,fuente dc,Fuente DC Regulada EZ GP-1303TP,EZ Digital,GP-1303TP,,1,REGULAR,DISPONIBLE,
873477,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,REGULAR,DISPONIBLE,
873490,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,REGULAR,DISPONIBLE,
873491,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,REGULAR,DISPONIBLE,
873502,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,REGULAR,DISPONIBLE,
873504,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,REGULAR,DISPONIBLE,
2F-8,E,kit de desarrollo,Xilinx Spartan FPGA,Xilinx,Spartan,,1,REGULAR,DISPONIBLE,"Placa, 1 adaptador y cable alimentacion y 1 2R32"
AI-1053,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,REGULAR,DISPONIBLE,
AI-1263,C,fuente dc,Fuente Dual DC KI DPS-1303DF,King Instrument Electronics,DPS-1303DF,,1,REGULAR,DISPONIBLE,
